x,y
3.283483464781430161e+00,4.325482235698266777e+03
3.889940817700419995e+00,5.028590260941225097e+03
3.567869595187282084e+00,4.994111561326109040e+03
5.560177238423507973e+00,5.386370965258700380e+03
5.082952254762745703e+00,5.201016134760790010e+03
7.144294534421904430e+00,5.330014932586943360e+03
7.220862765202871181e+00,4.125533079180013374e+03
9.870623958706602252e+00,4.575649247640229987e+03
1.060548106717119765e+01,5.417767505187664028e+03
1.538337890691745713e+01,3.660868141145017034e+03
1.350406324100232602e+01,3.797500340774561664e+03
1.637735653938633007e+01,4.348939627374133124e+03
1.815399078926140319e+01,2.514915918654773122e+03
2.225806144317317958e+01,1.399901111945740013e+03
3.399723072792289713e+01,9.378548589957950981e+02
3.414230548543114452e+01,5.184459679144680422e+02
3.995039704285467508e+01,3.077977334488716110e+02
7.021339967516000513e+01,1.463970327092509365e+02
5.848293024465046841e+01,9.547974628752662341e+01
1.017121432860370334e+02,5.431486159402587077e+01
1.100104083801174681e+02,3.139843096341856210e+01
1.324664642448211396e+02,1.649252428363699252e+01
2.024326618376842362e+02,1.904869421247860117e+01
1.816407778152642436e+02,3.512266676068398397e+01
2.944004105276291057e+02,5.464436539981160479e+01
2.816849735803779140e+02,1.056900777539639762e+02
3.248227709092553823e+02,1.604403739006425837e+02
3.756356788394830915e+02,2.541311536908300184e+02
5.497782191335928701e+02,5.329989819191480365e+02
6.862251067457901854e+02,6.876435668738336062e+02
6.617719974799182410e+02,1.462336818746830204e+03
1.001245152841500726e+03,2.400588902030838199e+03
1.435028740561561790e+03,4.066076244822931585e+03
1.719057001867153076e+03,4.478617959686042923e+03
1.468115542580091414e+03,4.521914083527443836e+03
1.748358708303645699e+03,3.983876923815376813e+03
2.080532551968207372e+03,3.953416735319884083e+03
2.143494786463478704e+03,4.878392221912375135e+03
2.524685320194794713e+03,5.097214119585036315e+03
4.132122172708577637e+03,4.031024017348348025e+03
3.593199494775837593e+03,4.348874342718246226e+03
6.276485470761676879e+03,5.213455036144245241e+03
6.989826241813367233e+03,3.658223260401746302e+03
6.108857409762235875e+03,3.522798407672624762e+03
5.554514492818344479e+03,1.600207716261480982e+03
5.891645780489325261e+03,9.291593971245698640e+02
7.476401520586027800e+03,4.142351061093331168e+02
6.256148480606820158e+03,1.664271163937254698e+02
6.259867456331871836e+03,9.111345720102752921e+01
6.311123190725358654e+03,4.122458857704482682e+01
5.535923730700180386e+03,1.469015609406823231e+01
6.199722574240514405e+03,7.574781326636248480e+00
8.055167758051348756e+03,3.121982540833660114e+00
6.873203498888255126e+03,1.748217371952907717e+00
7.886470619017478384e+03,8.565200104661455649e-01
5.968951035524637518e+03,1.069848287215739324e+00
4.253481771900897002e+03,9.431190869538768062e-01
5.664298443323410538e+03,1.217150650753504593e+00
4.738870591727463761e+03,1.189736519908695556e+00
3.545620206792556473e+03,1.066028677745305631e+00
4.246332739473600668e+03,9.693334395494548339e-01
2.933862938463006685e+03,9.142217588104486481e-01
2.248267586367948297e+03,8.911019289588314463e-01
2.970512471569235458e+03,9.211507722623261118e-01
2.293856390752217067e+03,9.987493769665264365e-01
2.588440557327556235e+03,1.825347311440200349e+00
2.227255030778080254e+03,3.519466527704653291e+00
1.800833061809021729e+03,7.989352112973823417e+00
2.774269787005761373e+03,1.580769991937410701e+01
2.200515088438549355e+03,2.510115641554261856e+01
2.317445487962374955e+03,4.792649759167824186e+01
2.705733132932866738e+03,1.228329736883797381e+02
2.106481135299334710e+03,2.521212601858379969e+02
2.255973553231106962e+03,3.548385916409674223e+02
2.655249848595918138e+03,1.112947264008757429e+03
1.932777640237858577e+03,1.695787858037889919e+03
1.898393196443042370e+03,1.073289456712550418e+03
1.406785746515916344e+03,5.434629477556358097e+02
1.032245398737492451e+03,2.966907438522518419e+02
7.826722371853031746e+02,1.483375814578475627e+02
9.145448854797367630e+02,1.115717747080021951e+02
7.231364259219162705e+02,5.948206081879271778e+01
5.948393244373980906e+02,2.978436823428776847e+01
4.578980116304934427e+02,1.672573472291605157e+01
3.857552501959268625e+02,1.174059083065612974e+01
2.784157182277742777e+02,6.353574387300707116e+00
2.430156122559786525e+02,5.018924137287448239e+00
2.690913782793680866e+02,5.823212137328006577e+00
1.558456411369869556e+02,5.819550644632596637e+00
1.493156653672018308e+02,5.993988783146182442e+00
1.799530449554249287e+02,5.890490242878341220e+00
1.553456821550903442e+02,4.979818937094574238e+00
1.362899955986144960e+02,4.562930238262823401e+00
1.029140966997349835e+02,5.108687837108062624e+00
8.661461097095428840e+01,5.397266115538097431e+00
1.018033045548645532e+02,5.928188640435564594e+00
8.214416913021300104e+01,5.350992222238718732e+00
7.880979234596092908e+01,7.159013496888285033e+00
4.964224236335689255e+01,1.041492830213659815e+01
5.400771728661517557e+01,1.787762939046926647e+01
4.325033641766565751e+01,4.587991724861545606e+01
3.211936728151011522e+01,7.266106282670739347e+01
2.014174597571548730e+01,1.355959435397925859e+02
